"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.1.1 Diefstal/inbraak woning";"2018";"Burgwallen-Nieuwe Zijde";"      22"
"1.1.1 Diefstal/inbraak woning";"2019";"Burgwallen-Nieuwe Zijde";"      19"
"1.1.1 Diefstal/inbraak woning";"2020";"Burgwallen-Nieuwe Zijde";"      23"
"1.1.1 Diefstal/inbraak woning";"2021";"Burgwallen-Nieuwe Zijde";"      24"
"1.1.1 Diefstal/inbraak woning";"2022";"Burgwallen-Nieuwe Zijde";"      21"
"1.1.1 Diefstal/inbraak woning";"2023";"Burgwallen-Nieuwe Zijde";"      16"
"1.1.1 Diefstal/inbraak woning";"2012";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2013";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2014";"Stationsplein e.o.";"       1"
"1.1.1 Diefstal/inbraak woning";"2015";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2016";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2017";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2018";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2019";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2020";"Stationsplein e.o.";"       1"
"1.1.1 Diefstal/inbraak woning";"2021";"Stationsplein e.o.";"       0"
"1.1.1 Diefstal/inbraak woning";"2022";"Stationsplein e.o.";"       0"
